Date,Time,Temp
14/04/2008,09:34:39,0.051
14/04/2008,10:04:39,0.051
14/04/2008,10:34:39,0.051
14/04/2008,11:04:39,0.079
14/04/2008,11:34:39,0.079
14/04/2008,12:04:39,0.051
14/04/2008,12:34:39,0.079
14/04/2008,13:04:39,0.051
14/04/2008,13:34:39,0.079
14/04/2008,14:04:39,0.079
14/04/2008,14:34:39,0.051
14/04/2008,15:04:39,0.079
14/04/2008,15:34:39,0.051
14/04/2008,16:04:39,0.051
14/04/2008,16:34:39,0.051
14/04/2008,17:04:39,0.051
14/04/2008,17:34:39,0.079
14/04/2008,18:04:39,0.079
14/04/2008,18:34:39,0.051
14/04/2008,19:04:39,0.051
14/04/2008,19:34:39,0.051
14/04/2008,20:04:39,0.051
14/04/2008,20:34:39,0.079
14/04/2008,21:04:39,0.051
14/04/2008,21:34:39,0.079
14/04/2008,22:04:39,0.051
14/04/2008,22:34:39,0.051
14/04/2008,23:04:39,0.051
14/04/2008,23:34:39,0.051
15/04/2008,00:04:39,0.051
15/04/2008,00:34:39,0.051
15/04/2008,01:04:39,0.051
15/04/2008,01:34:39,0.051
15/04/2008,02:04:39,0.051
15/04/2008,02:34:39,0.079
15/04/2008,03:04:39,0.051
15/04/2008,03:34:39,0.051
15/04/2008,04:04:39,0.079
15/04/2008,04:34:39,0.051
15/04/2008,05:04:39,0.051
15/04/2008,05:34:39,0.051
15/04/2008,06:04:39,0.079
15/04/2008,06:34:39,0.051
15/04/2008,07:04:39,0.051
15/04/2008,07:34:39,0.051
15/04/2008,08:04:39,0.051
15/04/2008,08:34:39,0.051
15/04/2008,09:04:39,0.051
15/04/2008,09:34:39,0.051
15/04/2008,10:04:39,0.051
15/04/2008,10:34:39,0.051
15/04/2008,11:04:39,0.051
15/04/2008,11:34:39,0.051
15/04/2008,12:04:39,0.051
15/04/2008,12:34:39,0.051
15/04/2008,13:04:39,0.051
15/04/2008,13:34:39,0.051
15/04/2008,14:04:39,0.051
15/04/2008,14:34:39,0.051
15/04/2008,15:04:39,0.051
15/04/2008,15:34:39,0.051
15/04/2008,16:04:39,0.051
15/04/2008,16:34:39,0.051
15/04/2008,17:04:39,0.051
15/04/2008,17:34:39,0.051
15/04/2008,18:04:39,0.051
15/04/2008,18:34:39,0.051
15/04/2008,19:04:39,0.051
15/04/2008,19:34:39,0.051
15/04/2008,20:04:39,0.051
15/04/2008,20:34:39,0.079
15/04/2008,21:04:39,0.051
15/04/2008,21:34:39,0.051
15/04/2008,22:04:39,0.051
15/04/2008,22:34:39,0.051
15/04/2008,23:04:39,0.051
15/04/2008,23:34:39,0.051
16/04/2008,00:04:39,0.051
16/04/2008,00:34:39,0.051
16/04/2008,01:04:39,0.051
16/04/2008,01:34:39,0.051
16/04/2008,02:04:39,0.051
16/04/2008,02:34:39,0.051
16/04/2008,03:04:39,0.051
16/04/2008,03:34:39,0.051
16/04/2008,04:04:39,0.051
16/04/2008,04:34:39,0.051
16/04/2008,05:04:39,0.051
16/04/2008,05:34:39,0.051
16/04/2008,06:04:39,0.051
16/04/2008,06:34:39,0.051
16/04/2008,07:04:39,0.051
16/04/2008,07:34:39,0.051
16/04/2008,08:04:39,0.051
16/04/2008,08:34:39,0.051
16/04/2008,09:04:39,0.051
16/04/2008,09:34:39,0.051
16/04/2008,10:04:39,0.051
16/04/2008,10:34:39,0.051
16/04/2008,11:04:39,0.051
16/04/2008,11:34:39,0.051
16/04/2008,12:04:39,0.051
16/04/2008,12:34:39,0.051
16/04/2008,13:04:39,0.051
16/04/2008,13:34:39,0.051
16/04/2008,14:04:39,0.051
16/04/2008,14:34:39,0.051
16/04/2008,15:04:39,0.051
16/04/2008,15:34:39,0.051
16/04/2008,16:04:39,0.051
16/04/2008,16:34:39,0.051
16/04/2008,17:04:39,0.051
16/04/2008,17:34:39,0.051
16/04/2008,18:04:39,0.051
16/04/2008,18:34:39,0.051
16/04/2008,19:04:39,0.051
16/04/2008,19:34:39,0.051
16/04/2008,20:04:39,0.051
16/04/2008,20:34:39,0.051
16/04/2008,21:04:39,0.051
16/04/2008,21:34:39,0.051
16/04/2008,22:04:39,0.051
16/04/2008,22:34:39,0.051
16/04/2008,23:04:39,0.051
16/04/2008,23:34:39,0.051
17/04/2008,00:04:39,0.051
17/04/2008,00:34:39,0.051
17/04/2008,01:04:39,0.051
17/04/2008,01:34:39,0.051
17/04/2008,02:04:39,0.051
17/04/2008,02:34:39,0.051
17/04/2008,03:04:39,0.051
17/04/2008,03:34:39,0.051
17/04/2008,04:04:39,0.051
17/04/2008,04:34:39,0.051
17/04/2008,05:04:39,0.051
17/04/2008,05:34:39,0.051
17/04/2008,06:04:39,0.079
17/04/2008,06:34:39,0.079
17/04/2008,07:04:39,0.079
17/04/2008,07:34:39,0.079
17/04/2008,08:04:39,0.079
17/04/2008,08:34:39,0.079
17/04/2008,09:04:39,0.051
17/04/2008,09:34:39,0.051
17/04/2008,10:04:39,0.051
17/04/2008,10:34:39,0.051
17/04/2008,11:04:39,0.051
17/04/2008,11:34:39,0.051
17/04/2008,12:04:39,0.051
17/04/2008,12:34:39,0.051
17/04/2008,13:04:39,0.051
17/04/2008,13:34:39,0.051
17/04/2008,14:04:39,0.051
17/04/2008,14:34:39,0.051
17/04/2008,15:04:39,0.051
17/04/2008,15:34:39,0.051
17/04/2008,16:04:39,0.051
17/04/2008,16:34:39,0.051
17/04/2008,17:04:39,0.051
17/04/2008,17:34:39,0.051
17/04/2008,18:04:39,0.051
17/04/2008,18:34:39,0.051
17/04/2008,19:04:39,0.051
17/04/2008,19:34:39,0.051
17/04/2008,20:04:39,0.051
17/04/2008,20:34:39,0.051
17/04/2008,21:04:39,0.051
17/04/2008,21:34:39,0.051
17/04/2008,22:04:39,0.051
17/04/2008,22:34:39,0.051
17/04/2008,23:04:39,0.051
17/04/2008,23:34:39,0.051
18/04/2008,00:04:39,0.051
18/04/2008,00:34:39,0.051
18/04/2008,01:04:39,0.051
18/04/2008,01:34:39,0.051
18/04/2008,02:04:39,0.051
18/04/2008,02:34:39,0.051
18/04/2008,03:04:39,0.051
18/04/2008,03:34:39,0.051
18/04/2008,04:04:39,0.051
18/04/2008,04:34:39,0.051
18/04/2008,05:04:39,0.051
18/04/2008,05:34:39,0.051
18/04/2008,06:04:39,0.051
18/04/2008,06:34:39,0.051
18/04/2008,07:04:39,0.051
18/04/2008,07:34:39,0.051
18/04/2008,08:04:39,0.051
18/04/2008,08:34:39,0.051
18/04/2008,09:04:39,0.051
18/04/2008,09:34:39,0.051
18/04/2008,10:04:39,0.051
18/04/2008,10:34:39,0.051
18/04/2008,11:04:39,0.051
18/04/2008,11:34:39,0.051
18/04/2008,12:04:39,0.051
18/04/2008,12:34:39,0.051
18/04/2008,13:04:39,0.051
18/04/2008,13:34:39,0.051
18/04/2008,14:04:39,0.051
18/04/2008,14:34:39,0.051
18/04/2008,15:04:39,0.051
18/04/2008,15:34:39,0.051
18/04/2008,16:04:39,0.051
18/04/2008,16:34:39,0.051
18/04/2008,17:04:39,0.051
18/04/2008,17:34:39,0.051
18/04/2008,18:04:39,0.051
18/04/2008,18:34:39,0.051
18/04/2008,19:04:39,0.051
18/04/2008,19:34:39,0.051
18/04/2008,20:04:39,0.051
18/04/2008,20:34:39,0.051
18/04/2008,21:04:39,0.051
18/04/2008,21:34:39,0.051
18/04/2008,22:04:39,0.051
18/04/2008,22:34:39,0.051
18/04/2008,23:04:39,0.051
18/04/2008,23:34:39,0.051
19/04/2008,00:04:39,0.051
19/04/2008,00:34:39,0.051
19/04/2008,01:04:39,0.051
19/04/2008,01:34:39,0.051
19/04/2008,02:04:39,0.051
19/04/2008,02:34:39,0.051
19/04/2008,03:04:39,0.051
19/04/2008,03:34:39,0.051
19/04/2008,04:04:39,0.051
19/04/2008,04:34:39,0.051
19/04/2008,05:04:39,0.051
19/04/2008,05:34:39,0.051
19/04/2008,06:04:39,0.051
19/04/2008,06:34:39,0.051
19/04/2008,07:04:39,0.051
19/04/2008,07:34:39,0.051
19/04/2008,08:04:39,0.051
19/04/2008,08:34:39,0.051
19/04/2008,09:04:39,0.051
19/04/2008,09:34:39,0.051
19/04/2008,10:04:39,0.051
19/04/2008,10:34:39,0.051
19/04/2008,11:04:39,0.051
19/04/2008,11:34:39,0.051
19/04/2008,12:04:39,0.051
19/04/2008,12:34:39,0.051
19/04/2008,13:04:39,0.051
19/04/2008,13:34:39,0.051
19/04/2008,14:04:39,0.051
19/04/2008,14:34:39,0.051
19/04/2008,15:04:39,0.051
19/04/2008,15:34:39,0.051
19/04/2008,16:04:39,0.051
19/04/2008,16:34:39,0.051
19/04/2008,17:04:39,0.051
19/04/2008,17:34:39,0.051
19/04/2008,18:04:39,0.051
19/04/2008,18:34:39,0.051
19/04/2008,19:04:39,0.051
19/04/2008,19:34:39,0.051
19/04/2008,20:04:39,0.051
19/04/2008,20:34:39,0.051
19/04/2008,21:04:39,0.051
19/04/2008,21:34:39,0.051
19/04/2008,22:04:39,0.024
19/04/2008,22:34:39,0.024
19/04/2008,23:04:39,0.024
19/04/2008,23:34:39,0.024
20/04/2008,00:04:39,0.024
20/04/2008,00:34:39,0.024
20/04/2008,01:04:39,0.024
20/04/2008,01:34:39,0.024
20/04/2008,02:04:39,0.024
20/04/2008,02:34:39,0.024
20/04/2008,03:04:39,0.024
20/04/2008,03:34:39,0.024
20/04/2008,04:04:39,0.024
20/04/2008,04:34:39,0.024
20/04/2008,05:04:39,0.024
20/04/2008,05:34:39,0.024
20/04/2008,06:04:39,0.024
20/04/2008,06:34:39,0.024
20/04/2008,07:04:39,0.024
20/04/2008,07:34:39,0.024
20/04/2008,08:04:39,0.024
20/04/2008,08:34:39,0.024
20/04/2008,09:04:39,0.024
20/04/2008,09:34:39,0.024
20/04/2008,10:04:39,0.024
20/04/2008,10:34:39,0.024
20/04/2008,11:04:39,0.024
20/04/2008,11:34:39,0.024
20/04/2008,12:04:39,0.024
20/04/2008,12:34:39,0.024
20/04/2008,13:04:39,0.024
20/04/2008,13:34:39,0.024
20/04/2008,14:04:39,0.024
20/04/2008,14:34:39,0.024
20/04/2008,15:04:39,0.024
20/04/2008,15:34:39,0.024
20/04/2008,16:04:39,0.024
20/04/2008,16:34:39,0.024
20/04/2008,17:04:39,0.024
20/04/2008,17:34:39,0.024
20/04/2008,18:04:39,0.024
20/04/2008,18:34:39,0.024
20/04/2008,19:04:39,0.024
20/04/2008,19:34:39,0.024
20/04/2008,20:04:39,0.024
20/04/2008,20:34:39,0.024
20/04/2008,21:04:39,0.024
20/04/2008,21:34:39,0.024
20/04/2008,22:04:39,0.024
20/04/2008,22:34:39,0.024
20/04/2008,23:04:39,0.024
20/04/2008,23:34:39,0.024
21/04/2008,00:04:39,0.024
21/04/2008,00:34:39,0.024
21/04/2008,01:04:39,0.024
21/04/2008,01:34:39,0.024
21/04/2008,02:04:39,0.024
21/04/2008,02:34:39,0.024
21/04/2008,03:04:39,0.024
21/04/2008,03:34:39,0.024
21/04/2008,04:04:39,0.024
21/04/2008,04:34:39,0.024
21/04/2008,05:04:39,0.024
21/04/2008,05:34:39,0.024
21/04/2008,06:04:39,0.024
21/04/2008,06:34:39,0.024
21/04/2008,07:04:39,0.024
21/04/2008,07:34:39,0.024
21/04/2008,08:04:39,0.024
21/04/2008,08:34:39,0.024
21/04/2008,09:04:39,0.024
21/04/2008,09:34:39,0.024
21/04/2008,10:04:39,0.024
21/04/2008,10:34:39,0.024
21/04/2008,11:04:39,0.024
21/04/2008,11:34:39,0.024
21/04/2008,12:04:39,0.024
21/04/2008,12:34:39,0.024
21/04/2008,13:04:39,0.024
21/04/2008,13:34:39,0.024
21/04/2008,14:04:39,0.024
21/04/2008,14:34:39,0.024
21/04/2008,15:04:39,0.024
21/04/2008,15:34:39,0.024
21/04/2008,16:04:39,0.024
21/04/2008,16:34:39,0.024
21/04/2008,17:04:39,0.024
21/04/2008,17:34:39,0.024
21/04/2008,18:04:39,0.024
21/04/2008,18:34:39,0.024
21/04/2008,19:04:39,0.024
21/04/2008,19:34:39,0.024
21/04/2008,20:04:39,0.024
21/04/2008,20:34:39,0.024
21/04/2008,21:04:39,0.024
21/04/2008,21:34:39,0.024
21/04/2008,22:04:39,0.024
21/04/2008,22:34:39,0.024
21/04/2008,23:04:39,0.024
21/04/2008,23:34:39,0.024
22/04/2008,00:04:39,0.024
22/04/2008,00:34:39,0.024
22/04/2008,01:04:39,0.024
22/04/2008,01:34:39,0.024
22/04/2008,02:04:39,0.024
22/04/2008,02:34:39,0.024
22/04/2008,03:04:39,0.024
22/04/2008,03:34:39,0.024
22/04/2008,04:04:39,0.024
22/04/2008,04:34:39,0.024
22/04/2008,05:04:39,0.051
22/04/2008,05:34:39,0.024
22/04/2008,06:04:39,0.024
22/04/2008,06:34:39,0.024
22/04/2008,07:04:39,0.024
22/04/2008,07:34:39,0.024
22/04/2008,08:04:39,0.024
22/04/2008,08:34:39,0.024
22/04/2008,09:04:39,0.024
22/04/2008,09:34:39,0.024
22/04/2008,10:04:39,0.024
22/04/2008,10:34:39,0.024
22/04/2008,11:04:39,0.024
22/04/2008,11:34:39,0.024
22/04/2008,12:04:39,0.024
22/04/2008,12:34:39,0.024
22/04/2008,13:04:39,0.024
22/04/2008,13:34:39,0.024
22/04/2008,14:04:39,0.024
22/04/2008,14:34:39,0.024
22/04/2008,15:04:39,0.024
22/04/2008,15:34:39,0.024
22/04/2008,16:04:39,0.024
22/04/2008,16:34:39,0.051
22/04/2008,17:04:39,0.024
22/04/2008,17:34:39,0.024
22/04/2008,18:04:39,0.051
22/04/2008,18:34:39,0.024
22/04/2008,19:04:39,0.024
22/04/2008,19:34:39,0.024
22/04/2008,20:04:39,0.024
22/04/2008,20:34:39,0.024
22/04/2008,21:04:39,0.024
22/04/2008,21:34:39,0.024
22/04/2008,22:04:39,0.024
22/04/2008,22:34:39,0.024
22/04/2008,23:04:39,0.024
22/04/2008,23:34:39,0.051
23/04/2008,00:04:39,0.024
23/04/2008,00:34:39,0.051
23/04/2008,01:04:39,0.051
23/04/2008,01:34:39,0.051
23/04/2008,02:04:39,0.051
23/04/2008,02:34:39,0.051
23/04/2008,03:04:39,0.051
23/04/2008,03:34:39,0.051
23/04/2008,04:04:39,0.051
23/04/2008,04:34:39,0.051
23/04/2008,05:04:39,0.051
23/04/2008,05:34:39,0.051
23/04/2008,06:04:39,0.051
23/04/2008,06:34:39,0.051
23/04/2008,07:04:39,0.051
23/04/2008,07:34:39,0.051
23/04/2008,08:04:39,0.051
23/04/2008,08:34:39,0.051
23/04/2008,09:04:39,0.051
23/04/2008,09:34:39,0.051
23/04/2008,10:04:39,0.051
23/04/2008,10:34:39,0.051
23/04/2008,11:04:39,0.051
23/04/2008,11:34:39,0.051
23/04/2008,12:04:39,0.051
23/04/2008,12:34:39,0.051
23/04/2008,13:04:39,0.051
23/04/2008,13:34:39,0.024
23/04/2008,14:04:39,0.024
23/04/2008,14:34:39,0.024
23/04/2008,15:04:39,0.024
23/04/2008,15:34:39,0.024
23/04/2008,16:04:39,0.024
23/04/2008,16:34:39,0.024
23/04/2008,17:04:39,0.024
23/04/2008,17:34:39,0.024
23/04/2008,18:04:39,0.024
23/04/2008,18:34:39,0.024
23/04/2008,19:04:39,0.024
23/04/2008,19:34:39,0.024
23/04/2008,20:04:39,0.024
23/04/2008,20:34:39,0.024
23/04/2008,21:04:39,0.024
23/04/2008,21:34:39,0.024
23/04/2008,22:04:39,0.024
23/04/2008,22:34:39,0.024
23/04/2008,23:04:39,0.024
23/04/2008,23:34:39,0.024
24/04/2008,00:04:39,0.024
24/04/2008,00:34:39,0.024
24/04/2008,01:04:39,-0.004
24/04/2008,01:34:39,-0.004
24/04/2008,02:04:39,-0.004
24/04/2008,02:34:39,-0.004
24/04/2008,03:04:39,-0.004
24/04/2008,03:34:39,-0.004
24/04/2008,04:04:39,-0.004
24/04/2008,04:34:39,-0.004
24/04/2008,05:04:39,-0.004
24/04/2008,05:34:39,-0.004
24/04/2008,06:04:39,-0.004
24/04/2008,06:34:39,-0.004
24/04/2008,07:04:39,-0.004
24/04/2008,07:34:39,0.024
24/04/2008,08:04:39,-0.004
24/04/2008,08:34:39,-0.004
24/04/2008,09:04:39,-0.004
24/04/2008,09:34:39,0.024
24/04/2008,10:04:39,0.024
24/04/2008,10:34:39,0.024
24/04/2008,11:04:39,0.024
24/04/2008,11:34:39,0.024
24/04/2008,12:04:39,0.024
24/04/2008,12:34:39,0.024
24/04/2008,13:04:39,0.024
24/04/2008,13:34:39,0.024
24/04/2008,14:04:39,0.024
24/04/2008,14:34:39,0.024
24/04/2008,15:04:39,0.024
24/04/2008,15:34:39,0.024
24/04/2008,16:04:39,0.024
24/04/2008,16:34:39,0.024
24/04/2008,17:04:39,-0.004
24/04/2008,17:34:39,0.024
24/04/2008,18:04:39,0.024
24/04/2008,18:34:39,-0.004
24/04/2008,19:04:39,-0.004
24/04/2008,19:34:39,-0.004
24/04/2008,20:04:39,-0.004
24/04/2008,20:34:39,-0.004
24/04/2008,21:04:39,-0.004
24/04/2008,21:34:39,-0.004
24/04/2008,22:04:39,-0.004
24/04/2008,22:34:39,-0.004
24/04/2008,23:04:39,-0.004
24/04/2008,23:34:39,-0.004
25/04/2008,00:04:39,-0.004
25/04/2008,00:34:39,-0.004
25/04/2008,01:04:39,-0.004
25/04/2008,01:34:39,-0.004
25/04/2008,02:04:39,-0.004
25/04/2008,02:34:39,-0.004
25/04/2008,03:04:39,-0.004
25/04/2008,03:34:39,-0.004
25/04/2008,04:04:39,-0.004
25/04/2008,04:34:39,-0.004
25/04/2008,05:04:39,-0.004
25/04/2008,05:34:39,-0.004
25/04/2008,06:04:39,-0.004
25/04/2008,06:34:39,-0.004
25/04/2008,07:04:39,-0.004
25/04/2008,07:34:39,-0.004
25/04/2008,08:04:39,-0.004
25/04/2008,08:34:39,-0.004
25/04/2008,09:04:39,-0.004
25/04/2008,09:34:39,-0.004
25/04/2008,10:04:39,-0.004
25/04/2008,10:34:39,-0.004
25/04/2008,11:04:39,0.024
25/04/2008,11:34:39,0.024
25/04/2008,12:04:39,0.024
25/04/2008,12:34:39,-0.004
25/04/2008,13:04:39,0.024
25/04/2008,13:34:39,-0.004
25/04/2008,14:04:39,0.024
25/04/2008,14:34:39,0.024
25/04/2008,15:04:39,-0.004
25/04/2008,15:34:39,0.024
25/04/2008,16:04:39,0.024
25/04/2008,16:34:39,0.024
25/04/2008,17:04:39,0.024
25/04/2008,17:34:39,0.024
25/04/2008,18:04:39,-0.004
25/04/2008,18:34:39,0.024
25/04/2008,19:04:39,0.024
25/04/2008,19:34:39,0.024
25/04/2008,20:04:39,-0.004
25/04/2008,20:34:39,0.024
25/04/2008,21:04:39,-0.004
25/04/2008,21:34:39,-0.004
25/04/2008,22:04:39,-0.004
25/04/2008,22:34:39,-0.004
25/04/2008,23:04:39,-0.004
25/04/2008,23:34:39,-0.004
26/04/2008,00:04:39,-0.004
26/04/2008,00:34:39,-0.004
26/04/2008,01:04:39,-0.004
26/04/2008,01:34:39,-0.004
26/04/2008,02:04:39,-0.004
26/04/2008,02:34:39,-0.004
26/04/2008,03:04:39,-0.004
26/04/2008,03:34:39,-0.004
26/04/2008,04:04:39,-0.004
26/04/2008,04:34:39,-0.004
26/04/2008,05:04:39,-0.004
26/04/2008,05:34:39,-0.004
26/04/2008,06:04:39,-0.004
26/04/2008,06:34:39,-0.004
26/04/2008,07:04:39,-0.004
26/04/2008,07:34:39,0.024
26/04/2008,08:04:39,0.024
26/04/2008,08:34:39,-0.004
26/04/2008,09:04:39,-0.004
26/04/2008,09:34:39,0.024
26/04/2008,10:04:39,0.024
26/04/2008,10:34:39,-0.004
26/04/2008,11:04:39,0.024
26/04/2008,11:34:39,0.024
26/04/2008,12:04:39,-0.004
26/04/2008,12:34:39,-0.004
26/04/2008,13:04:39,-0.004
26/04/2008,13:34:39,0.024
26/04/2008,14:04:39,0.024
26/04/2008,14:34:39,0.024
26/04/2008,15:04:39,0.024
26/04/2008,15:34:39,0.024
26/04/2008,16:04:39,-0.004
26/04/2008,16:34:39,0.024
26/04/2008,17:04:39,0.024
26/04/2008,17:34:39,0.024
26/04/2008,18:04:39,-0.004
26/04/2008,18:34:39,-0.004
26/04/2008,19:04:39,-0.004
26/04/2008,19:34:39,-0.004
26/04/2008,20:04:39,-0.004
26/04/2008,20:34:39,-0.004
26/04/2008,21:04:39,-0.004
26/04/2008,21:34:39,-0.004
26/04/2008,22:04:39,-0.004
26/04/2008,22:34:39,-0.004
26/04/2008,23:04:39,-0.004
26/04/2008,23:34:39,-0.004
27/04/2008,00:04:39,-0.004
27/04/2008,00:34:39,-0.004
27/04/2008,01:04:39,-0.004
27/04/2008,01:34:39,-0.004
27/04/2008,02:04:39,-0.004
27/04/2008,02:34:39,-0.004
27/04/2008,03:04:39,-0.004
27/04/2008,03:34:39,-0.004
27/04/2008,04:04:39,-0.004
27/04/2008,04:34:39,-0.004
27/04/2008,05:04:39,-0.004
27/04/2008,05:34:39,-0.004
27/04/2008,06:04:39,-0.004
27/04/2008,06:34:39,-0.004
27/04/2008,07:04:39,-0.004
27/04/2008,07:34:39,-0.004
27/04/2008,08:04:39,-0.004
27/04/2008,08:34:39,-0.004
27/04/2008,09:04:39,-0.004
27/04/2008,09:34:39,-0.004
27/04/2008,10:04:39,-0.004
27/04/2008,10:34:39,-0.004
27/04/2008,11:04:39,-0.004
27/04/2008,11:34:39,-0.004
27/04/2008,12:04:39,-0.004
27/04/2008,12:34:39,-0.004
27/04/2008,13:04:39,-0.004
27/04/2008,13:34:39,-0.004
27/04/2008,14:04:39,-0.004
27/04/2008,14:34:39,-0.004
27/04/2008,15:04:39,-0.004
27/04/2008,15:34:39,-0.004
27/04/2008,16:04:39,-0.004
27/04/2008,16:34:39,-0.004
27/04/2008,17:04:39,-0.004
27/04/2008,17:34:39,-0.004
27/04/2008,18:04:39,-0.004
27/04/2008,18:34:39,-0.004
27/04/2008,19:04:39,-0.004
27/04/2008,19:34:39,-0.031
27/04/2008,20:04:39,-0.031
27/04/2008,20:34:39,-0.031
27/04/2008,21:04:39,-0.031
27/04/2008,21:34:39,-0.031
27/04/2008,22:04:39,-0.031
27/04/2008,22:34:39,-0.031
27/04/2008,23:04:39,-0.031
27/04/2008,23:34:39,-0.031
28/04/2008,00:04:39,-0.031
28/04/2008,00:34:39,-0.031
28/04/2008,01:04:39,-0.031
28/04/2008,01:34:39,-0.004
28/04/2008,02:04:39,-0.004
28/04/2008,02:34:39,-0.004
28/04/2008,03:04:39,-0.031
28/04/2008,03:34:39,-0.004
28/04/2008,04:04:39,-0.004
28/04/2008,04:34:39,-0.004
28/04/2008,05:04:39,-0.004
28/04/2008,05:34:39,-0.004
28/04/2008,06:04:39,-0.004
28/04/2008,06:34:39,-0.004
28/04/2008,07:04:39,-0.004
28/04/2008,07:34:39,-0.004
28/04/2008,08:04:39,-0.004
28/04/2008,08:34:39,-0.004
28/04/2008,09:04:39,-0.004
28/04/2008,09:34:39,-0.004
28/04/2008,10:04:39,-0.004
28/04/2008,10:34:39,-0.004
28/04/2008,11:04:39,-0.004
28/04/2008,11:34:39,-0.004
28/04/2008,12:04:39,-0.004
28/04/2008,12:34:39,-0.031
28/04/2008,13:04:39,-0.031
28/04/2008,13:34:39,-0.004
28/04/2008,14:04:39,-0.004
28/04/2008,14:34:39,-0.031
28/04/2008,15:04:39,-0.031
28/04/2008,15:34:39,-0.004
28/04/2008,16:04:39,-0.031
28/04/2008,16:34:39,-0.031
28/04/2008,17:04:39,-0.031
28/04/2008,17:34:39,-0.031
28/04/2008,18:04:39,-0.031
28/04/2008,18:34:39,-0.031
28/04/2008,19:04:39,-0.031
28/04/2008,19:34:39,-0.004
28/04/2008,20:04:39,-0.004
28/04/2008,20:34:39,-0.004
28/04/2008,21:04:39,-0.004
28/04/2008,21:34:39,-0.004
28/04/2008,22:04:39,-0.004
28/04/2008,22:34:39,-0.004
28/04/2008,23:04:39,-0.004
28/04/2008,23:34:39,-0.004
29/04/2008,00:04:39,-0.004
29/04/2008,00:34:39,-0.004
29/04/2008,01:04:39,-0.004
29/04/2008,01:34:39,-0.004
29/04/2008,02:04:39,-0.004
29/04/2008,02:34:39,-0.004
29/04/2008,03:04:39,-0.004
29/04/2008,03:34:39,-0.004
29/04/2008,04:04:39,-0.004
29/04/2008,04:34:39,-0.004
29/04/2008,05:04:39,-0.004
29/04/2008,05:34:39,-0.004
29/04/2008,06:04:39,-0.004
29/04/2008,06:34:39,-0.004
29/04/2008,07:04:39,-0.004
29/04/2008,07:34:39,-0.004
29/04/2008,08:04:39,-0.004
29/04/2008,08:34:39,-0.004
29/04/2008,09:04:39,-0.004
29/04/2008,09:34:39,-0.004
29/04/2008,10:04:39,-0.004
29/04/2008,10:34:39,-0.004
29/04/2008,11:04:39,-0.004
29/04/2008,11:34:39,-0.004
29/04/2008,12:04:39,-0.004
29/04/2008,12:34:39,-0.004
29/04/2008,13:04:39,-0.004
29/04/2008,13:34:39,-0.004
29/04/2008,14:04:39,0.024
29/04/2008,14:34:39,-0.004
29/04/2008,15:04:39,0.024
29/04/2008,15:34:39,0.024
29/04/2008,16:04:39,0.024
29/04/2008,16:34:39,0.024
29/04/2008,17:04:39,0.024
29/04/2008,17:34:39,0.024
29/04/2008,18:04:39,0.024
29/04/2008,18:34:39,0.024
29/04/2008,19:04:39,0.024
29/04/2008,19:34:39,0.024
29/04/2008,20:04:39,0.024
29/04/2008,20:34:39,0.024
29/04/2008,21:04:39,0.024
29/04/2008,21:34:39,0.024
29/04/2008,22:04:39,0.024
29/04/2008,22:34:39,0.024
29/04/2008,23:04:39,0.024
29/04/2008,23:34:39,0.024
30/04/2008,00:04:39,0.024
30/04/2008,00:34:39,0.024
30/04/2008,01:04:39,0.024
30/04/2008,01:34:39,0.024
30/04/2008,02:04:39,0.024
30/04/2008,02:34:39,0.024
30/04/2008,03:04:39,0.024
30/04/2008,03:34:39,0.024
30/04/2008,04:04:39,0.024
30/04/2008,04:34:39,0.024
30/04/2008,05:04:39,0.024
30/04/2008,05:34:39,0.024
30/04/2008,06:04:39,0.024
30/04/2008,06:34:39,0.024
30/04/2008,07:04:39,0.024
30/04/2008,07:34:39,0.024
30/04/2008,08:04:39,0.024
30/04/2008,08:34:39,0.024
30/04/2008,09:04:39,0.024
30/04/2008,09:34:39,0.024
30/04/2008,10:04:39,0.024
30/04/2008,10:34:39,0.024
30/04/2008,11:04:39,0.024
30/04/2008,11:34:39,0.024
30/04/2008,12:04:39,0.024
30/04/2008,12:34:39,0.024
30/04/2008,13:04:39,0.024
30/04/2008,13:34:39,0.024
30/04/2008,14:04:39,0.024
30/04/2008,14:34:39,0.024
30/04/2008,15:04:39,0.024
30/04/2008,15:34:39,0.024
30/04/2008,16:04:39,0.024
30/04/2008,16:34:39,0.024
30/04/2008,17:04:39,0.024
30/04/2008,17:34:39,0.024
30/04/2008,18:04:39,0.024
30/04/2008,18:34:39,0.024
30/04/2008,19:04:39,0.024
30/04/2008,19:34:39,0.024
30/04/2008,20:04:39,0.024
30/04/2008,20:34:39,0.024
30/04/2008,21:04:39,0.024
30/04/2008,21:34:39,0.024
30/04/2008,22:04:39,0.024
30/04/2008,22:34:39,0.024
30/04/2008,23:04:39,0.024
30/04/2008,23:34:39,0.024
01/05/2008,00:04:39,0.024
01/05/2008,00:34:39,0.024
01/05/2008,01:04:39,0.024
01/05/2008,01:34:39,0.024
01/05/2008,02:04:39,0.024
01/05/2008,02:34:39,0.024
01/05/2008,03:04:39,0.024
01/05/2008,03:34:39,0.024
01/05/2008,04:04:39,0.024
01/05/2008,04:34:39,0.024
01/05/2008,05:04:39,0.024
01/05/2008,05:34:39,0.024
01/05/2008,06:04:39,0.024
